Time used gen_solv: 0.002674
Time used Special_solv: 0.001763
v:                 v_:
              0                   0
  8.9994554e-05       8.9994554e-05
  0.00017997911       0.00017997911
  0.00026995367       0.00026995367
  0.00035991823       0.00035991823
  0.00044987279       0.00044987279
  0.00053981736       0.00053981736
  0.00062975194       0.00062975194
  0.00071967652       0.00071967652
  0.00080959111       0.00080959111
  0.00089949572       0.00089949572
  0.00098939033       0.00098939033
   0.0010792749        0.0010792749
   0.0011691496        0.0011691496
   0.0012590142        0.0012590142
   0.0013488689        0.0013488689
   0.0014387136        0.0014387136
   0.0015285483        0.0015285483
    0.001618373         0.001618373
   0.0017081877        0.0017081877
   0.0017979925        0.0017979925
   0.0018877872        0.0018877872
    0.001977572         0.001977572
   0.0020673468        0.0020673468
   0.0021571117        0.0021571117
   0.0022468665        0.0022468665
   0.0023366114        0.0023366114
   0.0024263463        0.0024263463
   0.0025160712        0.0025160712
   0.0026057862        0.0026057862
   0.0026954912        0.0026954912
   0.0027851862        0.0027851862
   0.0028748713        0.0028748713
   0.0029645464        0.0029645464
   0.0030542115        0.0030542115
   0.0031438666        0.0031438666
   0.0032335118        0.0032335118
   0.0033231471        0.0033231471
   0.0034127723        0.0034127723
   0.0035023876        0.0035023876
    0.003591993         0.003591993
   0.0036815884        0.0036815884
   0.0037711738        0.0037711738
   0.0038607492        0.0038607492
   0.0039503147        0.0039503147
   0.0040398703        0.0040398703
   0.0041294159        0.0041294159
   0.0042189515        0.0042189515
   0.0043084772        0.0043084772
    0.004397993         0.004397993
   0.0044874988        0.0044874988
   0.0045769946        0.0045769946
   0.0046664805        0.0046664805
   0.0047559564        0.0047559564
   0.0048454224        0.0048454224
   0.0049348785        0.0049348785
   0.0050243246        0.0050243246
   0.0051137607        0.0051137607
   0.0052031869        0.0052031869
   0.0052926032        0.0052926032
   0.0053820095        0.0053820095
   0.0054714059        0.0054714059
   0.0055607924        0.0055607924
   0.0056501689        0.0056501689
   0.0057395355        0.0057395355
   0.0058288921        0.0058288921
   0.0059182388        0.0059182388
   0.0060075756        0.0060075756
   0.0060969024        0.0060969024
   0.0061862194        0.0061862194
   0.0062755263        0.0062755263
   0.0063648234        0.0063648234
   0.0064541105        0.0064541105
   0.0065433877        0.0065433877
   0.0066326549        0.0066326549
   0.0067219123        0.0067219123
   0.0068111597        0.0068111597
   0.0069003972        0.0069003972
   0.0069896247        0.0069896248
   0.0070788424        0.0070788424
   0.0071680501        0.0071680501
   0.0072572479        0.0072572479
   0.0073464358        0.0073464358
   0.0074356138        0.0074356138
   0.0075247818        0.0075247818
   0.0076139399        0.0076139399
   0.0077030882        0.0077030882
   0.0077922265        0.0077922265
   0.0078813548        0.0078813548
   0.0079704733        0.0079704733
   0.0080595819        0.0080595819
   0.0081486805        0.0081486805
   0.0082377693        0.0082377693
   0.0083268481        0.0083268481
   0.0084159171        0.0084159171
   0.0085049761        0.0085049761
   0.0085940252        0.0085940252
   0.0086830644        0.0086830644
   0.0087720937        0.0087720937
   0.0088611131        0.0088611131
   0.0089501226        0.0089501226
   0.0090391222        0.0090391222
    0.009128112         0.009128112
